Questions,Answers
What is the history of the FDV?,"The Flower Corso is the origin of the Harvest Festival. In 1902, it was under the leadership of members of the “Neuchâtel Cycling Club” wishing to mark the end of the harvest with an original parade that the 1st Edition of the Corso Fleuri was born. This parade, part of the intangible cultural heritage of humanity, is the pride and reputation of the city of Neuchâtel, its region and the canton. After more than a century and more than 90 editions, other cultural and festive events have been added. With the GUGGENMUSIK PROCESS ON FRIDAY EVENING AND WEEKEND, the CHILDREN'S PROCESS ON SATURDAY AFTERNOON, the PLACE NUMA-DROZ SCENE, the PYRO-MELODIC SHOW ON SATURDAY EVENING, The winegrowers' village on rue du Seyon. All these events take place in the middle of a multitude of stands, amid popular jubilation which attracts more than 300,000 people each year to this locality which usually has 35,000 inhabitants. The event takes place every year on the last weekend of September, from Friday evening to Sunday evening. Traditionally, on Sunday afternoon, the Corso Fleuri parades on Avenue du Premier-Mars. It attracts tens of thousands of spectators from all over Switzerland and elsewhere. Thanks to your support, sponsorship, partnership, we can continue our mission, year after year, remaining dynamic, innovative and adapting to our times. We are delighted to count you among our partners and sponsors, in order to benefit from a great collaboration for an event which is part of our canton and culture."
"What is the atmosphere, the tone of the party?","It's a party to celebrate the harvest, to have fun and have a good time with friends. It is a tradition for all self-respecting Neuchâtel residents to drink wine from the canton of Neuchâtel and to eat winegrower steak (beef and horse meat). This is reflected throughout the festival and particularly highlighted on rue du Seyon with the village of winegrowers who serve Neuchâtel wines and typical cantonal dishes. The party lasts three days with music for all tastes (including live music) which allows you to have fun until the early hours. There is also a stage to promote Neuchâtel culture (place Numa-Droz). With dance shows and DJs from the region providing a crazy atmosphere. The election of Miss and Mister FDV also focuses on a more modern experience without physical selection criteria. The festival is planned for all categories of ages, lifestyle, community, sensations and therefore brings together all layers of the population who come together in a festive manner. There is something for all tastes, with quieter places like the winegrowers' village or the local lounge, during the day with the children's procession or the corso, wonder or thrill with the pyrotechnic show, the carousels, Miss and Mister FDV or the Guggenmusik. There is also the culinary aspect with dishes and drinks from various horizons. Finally the music, of different style and culture. Even politicians participate to share a relaxed moment with the population. In addition, the harvest festival takes a decidedly more environmentally friendly (ecological) and digital turn with the arrival of reusable tableware for payment by electronic bracelet. It is the event of the year in the city of Neuchâtel which is superbly located on the lakeside and which awaits you like 300,000 other people for these three days of popular jubilation. Here's what people are saying about it: https://www.rts.ch/play/tv/12h45/video/la-fete-des-vendanges-de-neuchatel-batson-plein?urn=urn:rts:video: 8943820 Even politicians use it: (see video at the end of the article) https://www.rts.ch/info/regions/neuchatel/10745566-plus-de-300000- Personnes-ala-fete-des-vendanges -de-neuchatel.html"
What is the Neuchâtel Harvest Festival?,"The Neuchâtel Harvest Festival celebrates vines and wine. Each year it brings together more than 250 stands and more than 300,000 people between Friday evening and Sunday evening during the last full weekend in September. It includes fairgrounds, a pyro-melodic show, processions, a stage, and a Corso Fleuri listed as Swiss intangible heritage."
Who manages the activities of the Fête des Vendanges de Neuchâtel association?,"The Fête des Vendanges association is managed by a central committee made up of 20 people, including 5 who make up the management. Numerous sponsors and partners allow the event to live and continue."
What is the program for the party on Friday?,"Here is the program for Friday: 6:00 p.m. OFFICIAL OPENING OF THE EVENT AND STANDS, Musical entertainment on the stage at Place Numa-Droz, Opening procession of the brotherhoods, Opening speech and official proclamation of the winner of the Gerle d competition 'Or, Entertainment on the stage of the Winegrower's Village with groups of musicians and singers, Entertainment by the Guggen - percussion group, END OF THE MUSIC, CLOSING OF THE STANDS."
What is the party program on Saturday?,"Here is the program for Saturday: Opening of the stands, Guggens entertainment, Entertainment on the stage with concerts, shows and DJs, Children's procession with competition, Participation of the brass bands and Guggens, Confetti battle with cannon, Fanfares, Entertainment on the stage of the Winegrower's Village with groups of musicians and singers, Pyro-melodic show, END OF THE MUSIC, CLOSING OF THE STANDS."
What is the program for the party on Sunday?,"Here is the Sunday program: Opening of the stands, Animation of the Guggens and brass bands, Entertainment on the stage with concerts, shows and DJ, Musical Pre-Corso, Grand Corso Fleuri on the theme ""Vend'anges & Démons,"" Entertainment on the stage of the Winegrower Village with groups of musicians and singers, Confetti Battle, END OF THE MUSIC, CLOSING OF THE STANDS."
How long does FDV last?,"The Harvest Festival lasts three days, from Friday September 22 at 6 p.m. to Sunday September 24 at midnight."
When does the FDV take place in 2023?,"The FDV will take place from September 22 to 24, 2023 in Neuchâtel."
Where does the FDV take place?,The FDV takes place in downtown Neuchâtel.
Where can you book the FDV bus?,The FDV bus can be reserved on the official website: https://fete-des-vendanges.ch/reservez-le-bus-de-la-fete-des-vendanges/
How to reserve an FDV room?,"The FDV rooms can be reserved online, consult the following link: https://fete-des-vendanges.ch/reservation-salle-fdv/"
Which room can we reserve?,"Rooms with a capacity of 20, 25 and 100 people can be reserved. They have all the equipment necessary for your work meetings, as well as an equipped kitchen, a smoking room and 2 WCs."
What is the theme of the 2023 edition of the FDV?,"The theme of the 2023 edition of the FDV is ""Vend'anges and demons."""
Who is the artist of the poster for the 2023 edition of the fdv?,"The artist is “L’Ange Violent”, aka Joakim Monnier @ange_violent"
How many fdvs were there?,The 2023 edition is the 96th fdv
How to access the fdv shop?,By internet see: https://fete-des-vendanges.sumupstore.com/
What can I buy at fdv shops?,FDV 2023 poster and the FDV support bracelet
